suite,query,selected_rows,fallback_rows,selected_row_fraction,selected_batches,fallback_batches,r1_off_ms,r1_on_ms,r2_off_ms,r2_on_ms
clickbench,q0,0,0,0.0,0,0,1.94,2.19,2.49,6.9
clickbench,q1,0,1357750,0.0,0,180,29.72,34.31,31.54,31.67
clickbench,q2,0,0,0.0,0,0,48.11,56.3,52.31,54.51
clickbench,q4,0,0,0.0,0,0,403.74,315.18,407.36,317.67
clickbench,q5,0,0,0.0,0,0,472.68,465.34,494.85,466.99
clickbench,q6,0,0,0.0,0,0,2.17,2.47,2.36,2.3
clickbench,q7,0,1357750,0.0,0,180,36.61,38.1,39.43,37.44
clickbench,q8,0,0,0.0,0,0,466.81,440.4,448.88,402.28
clickbench,q9,0,0,0.0,0,0,550.94,512.45,538.96,503.16
clickbench,q10,0,11912740,0.0,0,1655,188.73,182.95,211.93,182.7
clickbench,q11,0,11912740,0.0,0,1655,193.9,196.44,238.7,190.8
clickbench,q12,0,65491130,0.0,0,8500,542.56,526.65,578.06,541.89
clickbench,q13,0,65491130,0.0,0,8500,674.43,663.03,694.57,697.66
clickbench,q14,0,65491130,0.0,0,8500,526.11,535.48,555.94,557.69
clickbench,q15,0,0,0.0,0,0,364.92,351.93,383.06,382.51
clickbench,q16,0,0,0.0,0,0,1104.19,804.56,887.47,947.06
clickbench,q17,0,0,0.0,0,0,890.82,733.31,763.08,856.33
clickbench,q18,0,0,0.0,0,0,3694.9,3647.92,3301.06,3534.88
clickbench,q19,0,0,0.0,0,0,68.78,67.63,67.69,69.83
clickbench,q20,0,0,0.0,0,0,618.75,615.75,594.74,526.5
clickbench,q21,0,65491130,0.0,0,8500,728.33,754.03,662.03,668.61
clickbench,q22,0,65491130,0.0,0,8500,1443.02,1522.98,1391.56,1418.03
clickbench,q23,0,1451665,0.0,0,187,448.63,469.62,465.87,449.49
clickbench,q24,0,46142294,0.0,0,5949,265.97,284.66,272.68,268.78
clickbench,q25,0,65491130,0.0,0,8500,270.63,259.65,258.68,259.44
clickbench,q26,0,45258475,0.0,0,5840,295.55,304.55,298.04,305.24
