suite,query,arm,selected_rows,fallback_rows,selected_chunks,fallback_chunks,selected_batches,fallback_batches
tpch,q1,flag_off,0,0,0,0,0,0
tpch,q2,flag_off,0,166853,0,40,0,40
tpch,q3,flag_off,0,4146349,0,556,0,556
tpch,q4,flag_off,0,5011067,0,637,0,637
tpch,q5,flag_off,0,2413988,0,356,0,356
tpch,q6,flag_off,0,6103135,0,923,0,923
tpch,q7,flag_off,0,5534974,0,767,0,767
tpch,q8,flag_off,0,1397069,0,198,0,198
tpch,q9,flag_off,0,1288280,0,214,0,214
tpch,q10,flag_off,0,2724292,0,388,0,388
tpch,q11,flag_off,0,64154,0,36,0,36
tpch,q12,flag_off,0,3184480,0,493,0,493
tpch,q13,flag_off,0,0,0,0,0,0
tpch,q14,flag_off,0,2880891,0,379,0,379
tpch,q15,flag_off,0,5701310,0,795,0,795
tpch,q16,flag_off,0,370495,0,48,0,48
tpch,q17,flag_off,0,7870,0,2,0,2
tpch,q18,flag_off,0,0,0,0,0,0
tpch,q19,flag_off,0,1200852,0,213,0,213
tpch,q20,flag_off,0,5246010,0,713,0,713
tpch,q21,flag_off,0,8720889,0,1158,0,1158
tpch,q22,flag_off,0,425512,0,72,0,72
tpch,q1,flag_on_predicate_cache_on,0,0,0,0,0,0
tpch,q2,flag_on_predicate_cache_on,2,166851,2,38,2,38
tpch,q3,flag_on_predicate_cache_on,30142,4116207,4,552,4,552
tpch,q4,flag_on_predicate_cache_on,0,5011067,0,637,0,637
tpch,q5,flag_on_predicate_cache_on,1,2413987,1,355,1,355
tpch,q6,flag_on_predicate_cache_on,0,6103135,0,923,0,923
tpch,q7,flag_on_predicate_cache_on,0,5534974,0,767,0,767
tpch,q8,flag_on_predicate_cache_on,1,1397068,1,197,1,197
tpch,q9,flag_on_predicate_cache_on,10664,1277616,2,212,2,212
tpch,q10,flag_on_predicate_cache_on,57069,2667223,16,372,16,372
tpch,q11,flag_on_predicate_cache_on,2,64152,2,34,2,34
tpch,q12,flag_on_predicate_cache_on,0,3184480,0,493,0,493
tpch,q13,flag_on_predicate_cache_on,0,0,0,0,0,0
tpch,q14,flag_on_predicate_cache_on,0,2880891,0,379,0,379
tpch,q15,flag_on_predicate_cache_on,225954,5475356,53,742,53,742
tpch,q16,flag_on_predicate_cache_on,0,370495,0,48,0,48
tpch,q17,flag_on_predicate_cache_on,0,7870,0,2,0,2
tpch,q18,flag_on_predicate_cache_on,0,0,0,0,0,0
tpch,q19,flag_on_predicate_cache_on,0,1200852,0,213,0,213
tpch,q20,flag_on_predicate_cache_on,1,5246009,1,712,1,712
tpch,q21,flag_on_predicate_cache_on,729414,7991475,97,1061,97,1061
tpch,q22,flag_on_predicate_cache_on,0,425512,0,72,0,72
tpch,q1,flag_on_predicate_cache_off,0,0,0,0,0,0
tpch,q2,flag_on_predicate_cache_off,160954,5899,36,4,36,4
tpch,q3,flag_on_predicate_cache_off,177268,3969081,36,520,36,520
tpch,q4,flag_on_predicate_cache_off,0,5011067,0,637,0,637
tpch,q5,flag_on_predicate_cache_off,1140120,1273868,193,163,193,163
tpch,q6,flag_on_predicate_cache_off,114160,5988975,53,870,53,870
tpch,q7,flag_on_predicate_cache_off,134130,5400844,21,746,21,746
tpch,q8,flag_on_predicate_cache_off,121137,1275932,22,176,22,176
tpch,q9,flag_on_predicate_cache_off,330068,958212,55,159,55,159
tpch,q10,flag_on_predicate_cache_off,57069,2667223,16,372,16,372
tpch,q11,flag_on_predicate_cache_off,64154,0,36,0,36,0
tpch,q12,flag_on_predicate_cache_off,0,3184480,0,493,0,493
tpch,q13,flag_on_predicate_cache_off,0,0,0,0,0,0
tpch,q14,flag_on_predicate_cache_off,0,2880891,0,379,0,379
tpch,q15,flag_on_predicate_cache_off,451908,5249402,106,689,106,689
tpch,q16,flag_on_predicate_cache_off,118324,252171,16,32,16,32
tpch,q17,flag_on_predicate_cache_off,0,7870,0,2,0,2
tpch,q18,flag_on_predicate_cache_off,0,0,0,0,0,0
tpch,q19,flag_on_predicate_cache_off,0,1200852,0,213,0,213
tpch,q20,flag_on_predicate_cache_off,1,5246009,1,712,1,712
tpch,q21,flag_on_predicate_cache_off,977147,7743742,150,1008,150,1008
tpch,q22,flag_on_predicate_cache_off,228189,197323,40,32,40,32
